Белінська,Белинская,,3,
Бистрицька,Быстрицкая,,3,
Богатирьов,Богатырев,,3,
Богатирьова,Богатырева,,3,
Борисова,Борисова,,3,
Братунь,Братунь,,3,
Бугенвіль,Бугенвиль,,3,
Будьонний,Буденный,,3,
Бєлінський,Белинский,,3,
Білецька,Белецкая,,3,
Білоблоцька,Белоблоцкая,,3,
Більська,Бельская,,3,
Білявська,Белявская,,3,
Біляшівський,Биляшевский,,3,
В'язівський,Вязовский,,3,
Виговська,Выговская,,3,
Виноградівська,Виноградовская,,3,
Вирипаєв,Вырыпаев,,3,
Вирипаєва,Вырыпаева,,3,
Вишинська,Вышинская,,3,
Войцехівська,Войцеховская,,3,
Вілліс,Уиллис,,3,
Вінграновська,Винграновская,,3,
Вірхова,Верховая,,3,
Вітановська,Витановская,,3,
Вітвицька,Витвицкая,,3,
Вітковська,Витковская,,3,
Вітовська,Витовская,,3,
Галятовська,Галятовская,,3,
Ганн,Ганн,,3,
Гаєвська,Гаевская,,3,
Георгієвський,Георгиевский,,3,
Глибоцький,Глыбоцкий,,3,
Гливінська,Гливинская,,3,
Гнесін,Гнесин,,3,
Гонкурівська,Гонкуровская,,3,
Гречановський,Гречановская,,3,
Гудкова,Гудкова,,3,
Гумільов,Гумилев,,3,
Гумільова,Гумилева,,3,
Гурамішвілі,Гурамишвили,,3,
Гільєн,Гильен,,3,
Д'Естен,Д'Эстен,,3,
Дегтярівська,Дегтяревская,,3,
Джемільов,Джемилев,,3,
Джемільова,Джемилева,,3,
Димінський,Дыминский,,3,
Добротвірська,Добротворская,,3,
Довжанська,Должанская,,3,
Долінська,Долинская,,3,
Дьомін,Демин,,3,
Дьоміна,Демина,,3,
Дідковська,Дидковская,,3,
Дідківський,Дидковский,,3,
Жебрівська,Жебровская,,3,
Жилінська,Жилинская,,3,
Зборівська,Зборовская,,3,
Зелінська,Зелинская,,3,
Зінов'єв,Зиновьев,,3,
Зінов'єва,Зиновьева,,3,
Камінська,Каминская,,3,
Карпіловська,Карпиловская,,3,
Картвелішвілі,Картвелишвили,,3,
Кафарський,Кафарский,,3,
Кваснєвський,Квасьневский,,3,
Кобилянська,Кобылянская,,3,
Коженьовський,Коженевский,,3,
Козерацька,Козерацкая,,3,
Коломийська,Коломыйская,Коломойская,3,
Косаківська,Косаковская,,3,
Космодаміанська,Космодамианская,Космодемьянская,3,
Космодем'янська,Космодемьянская,Космодемьянская,3,
Крижановська,Крыжановская,,3,
